model,scope,symptom,prevalence,threshold,precision,recall,f1,average_precision
mlp,locked_test,swollen_glands,0.04312938816449348,0.08000000000000002,0.04744525547445255,0.9069767441860465,0.09017341040462427,0.09045354181842949
mlp,locked_test,rashes,0.05917753259779338,0.05,0.06125356125356125,0.7288135593220338,0.11300919842312747,0.06603132182274342
mlp,locked_test,sinus_headache,0.034102306920762285,0.05,0.02564102564102564,0.08823529411764706,0.039735099337748346,0.04130939360079831
mlp,locked_test,facial_pain,0.034102306920762285,0.08000000000000002,0.02127659574468085,0.20588235294117646,0.03856749311294766,0.03220947524980213
mlp,locked_test,shortness_of_breath,0.031093279839518557,0.07,0.02997275204359673,0.3548387096774194,0.05527638190954774,0.039043617753509674
mlp,locked_test,reduced_smell_and_taste,0.03009027081243731,0.07,0.01729106628242075,0.2,0.03183023872679045,0.03271207275352767
mlp,locked_test,skin_irritation,0.0320962888665998,0.08000000000000002,0.026804123711340205,0.40625,0.05029013539651837,0.03725379991731115
mlp,locked_test,itchiness,0.03510531594784353,0.26000000000000006,0.03015075376884422,0.5142857142857142,0.056962025316455694,0.05020465541115868
mlp,locked_test,throbbing_headache,0.031093279839518557,0.07,0.02244039270687237,0.5161290322580645,0.043010752688172046,0.02902700381476162
mlp,locked_test,confusion,0.07021063189568706,0.11000000000000001,0.07777777777777778,0.8,0.14177215189873418,0.08416230076012057
mlp,locked_test,back_pain,0.037111334002006016,0.07,0.055299539170506916,0.32432432432432434,0.09448818897637795,0.10216252212708515
mlp,locked_test,knee_ache,0.03610832497492478,0.05,0.039473684210526314,0.3333333333333333,0.07058823529411765,0.08321174212798808
xgb,development_oof,nausea,0.15210843373493976,0.12000000000000001,0.20295489891135304,0.8613861386138614,0.328508495909377,0.20798150782853012
xgb,development_oof,joint_pain,0.0665160642570281,0.05,0.08852459016393442,0.7132075471698113,0.1575,0.08114772456244135
xgb,development_oof,abdominal_pain,0.039909638554216864,0.060000000000000005,0.03419972640218878,0.15723270440251572,0.056179775280898875,0.03758391766964589
xgb,development_oof,high_fever,0.10366465863453815,0.13,0.15208156329651656,0.43341404358353514,0.22515723270440252,0.15241016225426685
xgb,development_oof,chills,0.0625,0.08000000000000002,0.0947467166979362,0.40562248995983935,0.15361216730038021,0.08748150859692225
xgb,development_oof,fatigue,0.12474899598393574,0.11000000000000001,0.17770204479065238,0.7344064386317908,0.2861622892983144,0.1820622252054181
xgb,development_oof,runny_nose,0.0981425702811245,0.1,0.14808153477218225,0.6317135549872123,0.23992229237493928,0.13824537108894192
xgb,development_oof,dizziness,0.1307730923694779,0.1,0.1733758469509765,0.8349328214971209,0.2871287128712871,0.17249152022993203
xgb,development_oof,headache,0.24397590361445784,0.13,0.25891829689298046,0.9259259259259259,0.40467625899280574,0.36866864708942776
xgb,development_oof,chest_pain,0.16842369477911648,0.26000000000000006,0.4146039603960396,0.4992548435171386,0.4530087897227857,0.41220882835062633
